45_68_44_ 45_73_44
70_18_53_11_23_12_ 74_18_53_11_23_12
37_27_34_52_55_61_80_19_ 37_27_34_52_55_61_134_19
18_60_74_37_ 18_60_105_37
72_76_ 111
35_65_ 61_65
28_8_24_7_24_ 54_8_117_24
36_55_ 36_70_55
52_64_58_58_78_26_13_47_ 52_33_58_32_117_26_13_47
19_54_73_57_10_ 19_54_95_57_10
28_64_2_6_64_49_ 28_33_2_6_64_49
79_ 118
4_10_7_65_38_41_ 4_10_7_65_38_41
64_55_74_1_0_ 33_55_105_1_0
29_9_79_77_39_ 29_9_118_50_39
32_76_41_ 32_111_41
74_61_8_64_33_48_22_ 24_12_61_8_64_33_48_22
19_27_63_13_41_ 19_27_70_13_41
48_45_77_31_60_70_16_36_9_0_ 48_45_50_57_60_74_16_36_9_0
62_ 62
63_13_11_54_ 63_13_11_54
67_39_55_44_37_ 107_39_55_44_37
39_75_ 39_107
2_23_34_70_17_53_29_ 2_23_34_74_17_53_29
22_78_78_50_43_ 22_9_117_50_43
47_78_ 47_117
5_79_39_1_22_64_4_37_73_47_ 5_118_39_44_22_33_4_37_55_47
33_47_ 59_105
44_62_ 44_62
1_44_76_0_19_ 1_44_111_24_19
51_40_47_50_ 51_40_73_24
70_ 74
9_4_41_65_15_77_29_ 9_4_41_65_15_24_29
65_ 65
72_ 76
79_36_ 118_36
49_6_72_22_ 49_6_76_13_23
2_65_81_1_ 61_65
70_ 74
23_42_36_71_13_75_ 22_42_36_75_13_39
57_40_ 31_40
19_80_33_ 19_134_33
45_17_75_61_55_ 45_17_107_61_55
38_48_38_39_9_80_55_ 38_48_12_39_9_134_55
0_8_65_74_60_20_22_14_58_42_ 0_34_65_21_60_46_22_14_58_42
72_40_ 76_40
50_22_79_40_ 0_22_118_40
41_70_24_ 41_74_24
53_76_ 53_111
69_ 73
46_49_9_64_29_14_ 46_49_9_64_29_14
56_79_ 56_118
65_19_ 65_19
52_25_59_76_2_ 52_51_33_111_2
73_17_10_12_ 95_17_10_12
24_15_62_50_ 24_15_62_0
15_49_19_69_45_58_ 15_49_19_73_45_58
81_ 63
33_18_17_24_13_73_12_ 59_18_17_24_13_95_12
64_44_22_32_10_6_13_30_36_ 64_44_22_32_10_6_13_30_36
48_62_26_16_9_ 48_62_26_16_9
15_18_31_33_9_11_64_27_16_ 15_18_31_33_9_11_64_27_16
12_63_20_ 12_63_46
42_20_49_47_75_19_74_30_2_2_ 42_46_49_47_107_19_1_30_35_2
10_35_76_38_ 10_61_111_38
29_51_7_63_19_37_ 29_51_7_70_19_37
29_78_ 29_117
70_19_74_15_39_61_ 74_19_21_15_39_61
40_80_ 40_134
1_27_71_52_42_ 1_27_75_52_42
81_ 63
81_ 63
5_76_ 5_111
41_1_ 76_21
3_70_25_ 3_74_25
9_22_70_52_ 9_22_74_52
35_49_80_5_10_ 61_49_134_5_10
27_24_48_75_26_36_16_ 27_0_48_107_26_36_16
1_ 70
31_17_73_29_ 31_17_95_21
36_9_79_6_55_ 36_9_118_6_55
8_51_56_63_36_49_ 8_51_56_63_36_31
2_11_67_50_42_15_ 44_11_107_50_42_15
40_6_63_41_ 40_6_63_41
65_10_ 65_10
53_62_44_16_46_42_ 53_62_44_16_20_42
69_54_51_10_37_ 73_54_51_10_37
63_35_7_ 63_61_7
78_12_55_31_13_ 117_12_55_31_13
24_55_ 50_70_55
14_76_38_1_ 14_111_12_21
26_75_ 26_107
6_51_78_13_ 6_25_117_13
9_6_2_21_65_58_79_49_41_ 9_6_2_47_65_58_44_49_41
2_30_71_20_51_6_ 35_30_75_20_51_6
45_41_9_78_7_17_20_ 45_41_9_117_7_17_20
57_16_72_28_54_23_18_5_30_14_ 57_16_76_28_54_23_18_5_30_14
32_64_34_52_22_ 32_64_34_52_22
69_56_ 73_56
31_7_41_28_66_32_13_30_ 31_7_41_28_111_32_13_30
65_27_54_1_40_77_14_31_58_ 65_27_54_21_40_24_14_19_58
29_31_40_9_71_34_50_49_ 29_31_40_26_75_34_50_49
28_ 54
25_26_54_69_20_3_57_ 25_26_54_73_46_3_57
13_69_0_ 13_73_24
3_33_ 3_64
25_ 70
30_24_62_44_ 30_50_62_44
27_20_18_71_60_45_48_ 27_20_18_75_60_45_48
33_75_13_ 33_107_13
19_29_14_73_1_4_ 19_29_14_95_1_4
80_49_51_38_6_ 70_49_51_12_6
40_65_ 40_65
16_50_62_11_55_ 16_50_62_11_55
6_51_64_57_1_77_ 6_51_64_57_1_24
47_52_64_34_ 47_52_64_34
51_78_ 51_117
77_51_66_20_ 50_51_70_46
15_70_8_18_55_58_44_ 15_74_27_18_55_58_44
60_15_80_31_45_ 60_15_134_57_45
64_30_66_5_4_ 59_30_70_5_4
34_ 34_70
30_70_ 30_74
33_41_59_22_33_ 64_41_59_23_12
26_45_38_65_11_ 26_45_38_65_11
10_20_11_30_35_57_17_ 10_20_11_30_35_57_17
70_ 74
29_65_32_ 29_65_32
1_23_5_37_61_ 107_23_5_37_61
28_4_19_51_34_72_3_ 28_4_19_51_34_76_3
69_ 73
40_72_ 40_76
49_6_6_8_2_71_9_37_60_14_ 49_6_21_8_2_75_9_37_60_14
14_7_29_20_2_1_6_16_77_37_ 14_7_29_20_2_105_6_16_0_37
10_8_73_42_ 10_8_95_42
4_10_7_79_38_41_ 4_10_7_118_38_41
30_40_80_42_20_ 30_40_134_42_20
32_66_2_35_ 58_70_2_35
65_33_50_25_ 65_33_24_25
61_71_ 61_75
65_ 65
73_ 95
15_66_47_ 15_70_47
15_64_13_28_74_16_22_31_8_ 15_59_13_54_105_16_22_31_8
57_35_11_34_73_44_50_9_ 31_61_11_34_95_44_50_9
3_40_62_30_ 3_40_62_30
40_74_32_ 40_21_32
14_70_ 14_74
40_2_75_6_3_ 40_2_107_6_3
68_ 73
37_40_76_6_ 37_40_111_6
64_ 64
59_ 64
40_59_36_26_75_8_25_ 40_59_36_26_107_8_25
67_ 107
60_65_19_49_44_13_ 60_65_19_49_44_13
14_38_ 14_105
79_29_13_ 118_29_13
61_79_ 61_118
54_29_79_49_50_ 54_29_118_49_50
17_65_53_66_ 17_65_53
27_23_78_ 27_117
27_15_79_1_ 27_15_118_21
9_71_40_ 9_75_40
1_80_1_15_ 134_15
49_72_ 49_76
35_57_72_12_5_6_ 61_57_76_38_5_6
36_19_56_78_57_ 36_19_56_117_57
76_ 111
62_ 29_62
19_41_30_31_65_59_78_54_40_ 19_41_30_31_65_59_27_54_40
5_78_8_ 5_117_8
71_26_17_56_48_ 75_9_17_56_48
64_ 64
24_75_32_ 0_107_32
10_43_38_63_5_30_13_ 10_43_38_63_5_30_13
3_68_0_ 3_105_50
31_74_34_ 31_105_34
45_2_76_40_46_15_ 45_2_111_40_20_15
52_73_50_ 52_95_0
24_63_ 24_63
17_ 17
48_7_40_65_64_59_ 48_7_40_65_33_59
49_47_73_50_36_19_58_ 49_47_95_0_36_19_58
26_62_ 26_62
40_0_75_24_ 40_117
65_16_13_53_56_43_5_20_55_ 65_16_13_53_56_43_54_20_55
40_23_72_9_54_52_8_ 40_23_76_9_28_52_8
78_ 117
62_42_27_ 62_42_27
 63
21_54_72_0_ 1_28_76_0
2_30_73_21_ 2_30_95_1
74_32_56_51_31_80_7_74_47_53_ 32_57_51_31_134_7_38_47_53
73_19_ 95_19
7_70_ 74
35_33_ 61_64
69_ 73
54_63_ 28_70
51_73_54_ 51_95_54
76_ 111
16_49_72_36_ 16_49_76_36
81_ 70
50_63_48_22_27_20_23_14_ 0_63_48_22_27_20_23_14
69_ 73
0_62_ 50_62
75_ 107
78_36_55_ 117_36_55
70_2_ 74_2
18_51_54_72_38_ 18_25_28_76_38
55_74_41_46_1_ 55_105_41_46_21
12_15_71_31_1_ 12_15_75_31_1
44_69_50_31_77_52_45_28_40_19_ 44_73_50_31_0_52_45_28_40_19
14_52_43_68_12_ 14_52_43_73_12
73_ 95
55_1_47_30_10_11_64_34_4_ 55_1_47_31_10_11_64_34_4
1_ 70
38_41_77_3_2_55_1_72_7_ 38_41_0_3_35_55_47_76_7
65_ 65
27_69_6_21_ 27_73_6_21
3_35_72_35_ 3_35_76_61
57_4_20_74_17_56_ 57_4_46_105_17_56
80_1_ 134
22_78_58_ 22_117_32
59_ 64
30_72_ 30_76
74_20_20_45_15_35_12_2_80_52_ 21_20_46_45_15_61_12_2_134_52
75_ 107
1_9_45_25_36_29_19_56_8_ 107_9_45_51_36_29_19_56_8
52_80_35_ 52_134_61
71_ 75
3_37_63_32_ 3_37_70_32
8_1_ 8_105
80_52_25_64_2_ 134_52_51_33_2
53_2_3_79_20_48_58_ 53_35_3_118_20_48_58
37_75_ 37_107
71_ 75
32_5_69_37_ 58_5_73_37
39_62_20_19_52_36_ 39_62_20_19_52_36
57_67_1_ 57_107_21
 73
74_22_12_28_40_ 105_22_38_28_40
37_65_ 37_65
7_79_ 7_118
69_ 73
26_67_21_ 26_107_21
6_7_19_72_27_13_31_ 6_7_19_76_27_13_31
19_68_8_ 19_73_8
65_ 65
33_10_78_12_20_ 59_10_117_12_46
34_64_44_73_54_6_ 34_33_44_95_54_6
29_62_ 29_62
1_79_ 118
30_80_18_ 30_134_18
68_9_71_11_ 47_10_75_11
52_8_65_44_ 52_8_65_44
29_79_12_ 29_118_38
 63
26_2_61_64_16_20_54_ 26_2_61_64_16_20_54
16_47_4_55_79_56_ 16_47_4_55_118_56
15_33_13_28_16_22_31_80_8_ 15_59_13_54_16_22_31_134_8
40_38_64_2_60_ 40_12_64_2_60
16_62_ 16_62
44_15_65_33_ 44_15_65_33
2_17_65_43_53_ 1_2_17_65_43_53
19_40_37_36_30_50_64_49_ 19_40_37_36_30_50_64_49
1_ 70
81_ 63
65_1_2_ 65_35
16_57_73_30_ 16_31_95_56
58_29_11_75_53_42_ 32_29_11_107_53_42
35_33_ 35_64
5_36_10_42_25_43_63_0_ 5_36_10_42_51_43_63_50
1_16_30_69_9_2_ 1_16_30_73_9_2
19_28_27_74_71_18_29_4_32_ 19_54_27_12_75_18_29_4_32
14_64_36_ 14_64_36
14_57_60_55_65_36_ 14_57_60_55_65_36
7_48_42_70_5_12_4_ 7_48_42_74_5_12_4
76_1_ 111
16_71_57_ 16_75_31
52_64_0_ 52_64_0
74_52_ 105_52
56_78_28_38_1_ 56_117_28_38_1
10_22_2_57_78_35_50_25_37_19_ 10_22_61_31_117_35_50_25_37_19
73_ 95
21_35_30_25_16_9_63_23_ 21_35_56_51_16_9_70_23
51_74_ 25_105
48_65_52_ 48_65_52
19_62_ 19_62
63_49_ 63_49
40_71_ 40_75
76_38_64_45_15_ 111_12_59_45_15
78_ 117
2_67_36_ 2_107_36
23_69_ 23_73
65_20_41_ 65_20_41
34_31_14_65_59_23_77_40_ 34_31_14_65_59_23_24_40
33_70_ 59_74
19_0_ 19_0
18_65_50_2_5_ 18_65_24_2_5
75_ 107
81_ 63
78_ 117
69_ 73
77_74_2_8_62_33_48_22_ 24_12_61_8_62_33_48_22
11_25_18_80_58_54_ 11_25_18_134_58_54
20_21_ 20_105
8_56_78_1_47_ 8_56_117_21_47
3_71_33_39_ 3_75_33_39
11_74_18_ 11_105_18
60_1_80_ 60_134
49_28_6_73_53_48_ 49_28_6_95_53_48
12_52_23_41_72_2_58_46_46_6_ 12_52_23_41_76_2_58_46_20_6
36_3_48_69_60_58_ 36_3_48_73_60_58
57_62_ 57_62
29_59_34_ 29_64_34
29_58_72_35_ 29_58_76_35
50_44_13_69_7_4_ 24_44_13_73_7_4
40_5_62_23_31_58_49_2_ 40_5_62_23_31_58_49_61
81_ 63
34_72_27_ 34_76_27
36_62_ 36_62
5_27_51_66_12_ 5_27_51_63_12
13_19_ 13_19
64_ 64
37_67_36_6_ 37_107_36_6
59_79_ 59_118
25_62_ 51_62
80_ 134
21_1_18_1_ 21_134
1_58_ 107_58
72_26_ 76_26
35_9_26_79_60_51_4_ 61_9_26_118_60_51_4
8_40_53_73_55_50_14_ 8_40_53_95_55_50_14
57_44_62_75_ 57_44_62_7
33_50_ 64_0
9_32_7_34_66_10_58_2_13_ 9_32_7_34_70_10_58_2_13
69_ 73
24_66_22_ 50_70_22
49_57_76_35_22_40_80_ 49_31_111_61_22_40_1
15_25_76_20_42_60_ 15_25_111_20_42_60
32_71_34_52_22_ 32_75_34_52_22
1_65_ 65
52_65_29_40_35_26_30_12_ 52_65_29_40_35_26_56_12
63_35_34_1_15_ 63_35_34_1_15
80_55_6_36_49_ 134_55_11_36_49
8_73_23_ 8_95_23
1_36_71_48_ 21_36_75_48
3_22_ 3_22
54_ 28
48_63_31_ 48_63_31
72_ 76
34_17_41_74_9_13_35_ 34_17_41_105_26_13_35
24_74_80_4_ 24_134_4
31_75_25_39_36_59_ 31_107_51_39_36_59
28_30_23_27_44_68_20_9_ 28_30_23_27_44_73_20_9
12_72_33_29_37_44_51_ 38_76_59_29_37_44_51
29_33_ 29_64
52_69_ 52_73
37_ 37
74_ 105
27_15_73_1_ 27_15_95_21
39_55_71_44_37_ 39_55_75_44_37
32_12_30_1_79_10_49_16_ 32_38_56_21_118_10_49_16
40_77_62_56_6_37_ 40_0_62_56_6_37
54_18_ 28_76
0_65_ 50_65
26_24_23_28_70_35_32_53_ 26_50_23_28_74_61_32_53
51_78_0_ 51_117_50
65_ 65
62_4_45_37_31_23_11_ 62_4_45_37_31_23_11
28_50_37_13_58_64_42_ 28_50_37_13_58_64_42
5_59_72_34_ 5_59_76_34
12_50_69_34_ 12_0_73_34
24_14_63_54_10_ 0_14_63_54_10
53_65_ 53_65
10_73_ 10_95
44_74_31_79_52_17_ 44_38_31_118_52_17
23_69_2_ 23_73_35
7_65_ 7_65
32_46_76_23_9_ 32_46_111_17_9
24_66_4_ 24_70_4
51_71_ 51_75
54_70_ 45_74
9_45_75_54_28_ 9_45_107_54_28
41_25_60_15_65_3_55_43_ 41_25_60_15_65_3_55_43
3_73_1_8_4_16_11_ 3_95_1_8_4_16_11
39_37_70_44_ 39_37_74_44
76_ 111
6_21_10_44_33_73_46_7_50_ 6_21_10_44_33_95_46_7_50
48_9_10_61_68_8_73_74_54_ 48_9_10_61_20_8_95_21_54
61_33_42_72_11_ 61_59_42_76_11
7_49_63_60_ 7_49_63_60
40_65_ 40_65
51_52_22_14_68_50_41_43_31_3_ 51_52_22_14_73_50_41_43_31_3
30_43_63_10_ 30_63_10
10_24_65_4_ 10_50_65_4
8_19_73_39_ 8_19_95_39
2_14_61_75_13_45_38_ 2_14_61_107_13_45_12
70_ 74
73_30_ 95_56
79_ 118
70_ 74
10_40_19_80_39_ 10_40_19_134_39
51_47_1_62_2_40_ 51_47_1_62_61_40
9_0_10_12_ 9_50_10_38
58_63_53_25_14_ 58_70_53_25_14
31_9_64_5_ 31_9_64_5
8_14_65_55_36_ 8_14_65_55_36
65_7_21_24_28_20_ 65_7_21_24_28_46
59_36_72_49_64_34_42_9_ 59_36_76_49_33_34_42_9
22_7_13_49_72_36_26_30_ 48_7_13_49_76_36_26_56
73_59_ 95_59
59_ 64
20_70_33_ 20_74_59
39_ 39
17_64_ 17_64
59_33_ 59_64
1_7_63_5_ 21_7_63_5
7_5_70_35_ 7_5_74_61
75_ 107
55_6_41_64_23_60_30_ 55_6_41_64_23_60_30
36_22_75_31_ 36_22_107_27
13_20_65_55_26_ 13_20_65_55_26
41_10_65_18_ 41_10_65_18
62_ 62
40_23_9_79_28_52_8_ 40_23_9_118_28_52_8
69_2_30_20_51_6_ 73_35_30_20_51_6
45_70_14_ 45_74_14
53_38_62_29_11_40_54_ 53_12_62_29_11_40_28
72_ 76
37_70_ 37_74
29_56_15_9_75_12_1_1_ 29_56_15_9_107_12_1_44
38_35_70_50_23_ 12_35_74_50_23
71_ 75
35_73_16_ 2_95_16
44_76_32_ 44_111_32
80_ 134
50_53_51_63_27_ 50_53_51_70_27
6_62_40_39_32_25_ 6_62_40_39_32_25
36_62_ 36_62
40_52_29_64_57_59_60_ 40_52_29_64_57_59_60
61_39_63_20_58_ 61_39_63_46_32
45_64_74_0_ 45_33_105_0
63_33_15_47_ 63_33_15_47
44_15_73_33_ 44_15_95_33
22_62_35_38_74_45_23_ 22_62_2_38_12_45_23
29_49_28_ 29_49_54
9_52_78_10_29_ 9_52_117_10_29
14_64_4_ 14_64_4
64_14_9_74_13_65_23_53_ 33_14_9_12_13_65_23_53
41_22_34_72_42_ 41_22_34_76_42
13_80_ 13_134
65_ 65
63_58_ 70_32
55_52_79_15_49_ 55_52_118_15_49
74_ 105
33_20_66_4_ 33_46_70_4
74_ 105
2_42_64_27_69_9_53_58_ 31_42_33_27_73_9_53_58
80_ 134
30_37_50_15_ 134_37_50_15
59_ 64
75_ 107
1_ 70
25_70_40_60_3_ 51_74_40_60_3
74_73_27_54_1_40_77_14_19_58_ 95_27_54_21_40_24_14_19_58
75_ 107
57_62_4_ 57_62_4
24_72_4_ 24_76_4
27_64_61_ 27_64_61
2_46_70_19_2_7_27_ 61_46_74_19_2_7_27
35_54_28_72_57_41_ 61_54_28_76_57_41
47_ 70
71_ 75
7_21_24_28_65_46_ 7_21_24_28_65_46
74_ 105
11_39_18_58_ 11_25_18_58
31_14_60_71_11_16_ 57_14_60_75_11_16
54_3_ 54_117
67_9_44_ 107_9_44
13_20_7_ 13_73_7
10_14_64_53_56_ 10_14_64_53_56
27_41_9_76_60_37_ 27_41_26_70_60_37
5_62_ 5_62
11_70_22_ 11_74_22
5_1_71_44_41_22_12_ 5_1_75_44_41_22_12
66_3_2_ 70_3_61
38_37_66_2_20_59_ 12_37_70_21_20_59
22_72_0_ 22_76_50
23_52_1_5_76_19_13_40_50_ 23_52_1_5_111_45_13_40_0
18_60_56_73_2_21_ 18_60_56_95_61_47
28_64_57_ 28_64_57
11_65_35_34_ 11_65_35_34
65_10_ 65_10
65_ 65
62_77_15_14_58_30_ 62_24_15_14_58_30
15_39_63_25_23_ 15_39_63_25_23
10_79_16_ 10_118_16
49_30_6_20_74_47_18_13_ 49_30_6_46_105_47_18_13
43_30_20_17_74_14_74_47_ 43_30_46_17_105_14_38_47
80_ 134
61_6_1_20_ 61_6_105_20
53_6_38_64_55_36_25_ 53_6_38_64_55_36_51
30_65_22_ 30_65_22
64_5_25_ 64_5_25
78_44_ 117_44
71_6_36_45_51_49_29_ 75_6_36_45_25_49_29
23_4_48_79_29_53_ 22_4_48_118_14_53
62_ 62
6_7_25_20_72_29_59_56_ 6_7_25_46_76_29_59_56
37_30_72_51_ 37_30_76_51
2_71_17_ 2_75_17
20_ 20
2_71_8_16_17_77_44_0_ 35_75_8_16_17_0_44_50
43_8_79_37_76_23_28_22_ 43_8_47_37_111_23_28_22
48_55_63_50_5_ 48_55_63_50_5
0_72_ 50_76
27_10_73_58_3_ 27_10_95_58_3
2_59_4_10_78_9_41_ 35_59_4_10_70_26_41
26_77_78_ 26_117
60_34_15_20_64_7_5_39_ 60_34_15_20_64_7_5_39
76_3_38_12_21_60_57_25_80_ 70_3_38_12_47_60_57_25_1
73_ 95
7_43_71_60_3_20_ 7_43_75_60_3_46
53_33_ 53_64
10_77_44_ 10_70_44
78_7_36_74_49_52_13_35_28_59_ 117_7_36_38_49_52_13_35_28_59
31_78_ 31_117
43_63_32_20_29_ 43_63_32_46_29
55_79_49_39_18_27_6_ 55_118_49_39_18_27_6
70_ 74
12_20_74_58_ 12_46_105_32
21_52_80_30_ 21_52_134_30
24_78_77_12_ 24_117_38
58_15_78_28_31_ 58_43_117_28_45
51_33_ 51_64
45_75_29_ 45_107_29
47_7_43_58_60_30_ 73_7_43_58_60_30
28_78_ 28_117
56_66_28_38_1_ 56_111_28_38_1
57_30_71_15_ 31_30_75_15
2_74_54_ 2_105_54
4_16_17_66_31_51_5_80_ 4_28_17_70_57_51_5_1
29_25_14_18_79_11_13_19_ 29_25_14_18_118_11_13_19
22_54_72_53_9_ 22_54_76_53_9
31_7_21_64_28_16_45_ 31_7_21_64_28_16_45
65_ 65
7_18_17_45_3_9_ 107_18_17_45_3_9
59_ 64
23_52_1_5_76_45_13_40_50_ 23_52_1_5_111_45_13_40_0
33_ 64
20_73_11_47_6_10_60_44_52_42_ 20_95_11_47_6_10_60_44_52_42
70_ 74
45_65_ 45_65
57_58_58_17_64_30_ 57_32_58_17_64_30
27_34_76_51_25_ 27_34_111_51_25
68_80_ 47_134
69_ 73
34_64_46_ 34_64_46
58_49_69_46_ 58_49_73_46
0_65_ 24_65
49_9_76_48_ 49_9_111_48
78_31_24_ 117_57_50
69_ 73
75_ 107
24_71_44_ 24_75_44
10_18_ 10_111
16_2_2_44_54_27_20_10_70_23_ 16_35_2_44_54_27_20_10_74_23
34_73_ 34_95
70_7_60_ 74_7_60
33_70_37_ 59_74_37
33_37_68_43_18_72_11_7_25_38_ 33_37_47_43_18_76_11_7_25_38
60_47_ 60_73
73_ 95
20_69_ 46_73
19_54_27_63_12_18_29_4_31_ 19_54_27_63_12_18_29_4_32
16_32_17_3_28_33_34_42_62_52_ 16_32_117_3_28_59_34_42_15_0
59_13_42_ 64_13_42
33_15_ 33_15
69_ 73
10_57_ 10_31
1_3_43_27_21_ 107_3_43_27_38
73_5_36_78_11_ 7_21_5_36_117_11
45_50_2_44_49_66_16_ 45_0_21_44_49_70_16
46_67_64_52_ 46_7_64_52
19_23_2_71_42_9_ 19_23_35_75_42_9
43_65_22_ 43_65_22
49_30_6_20_79_18_64_13_ 49_30_6_46_47_18_64_13
45_40_20_32_15_73_1_ 45_40_46_32_15_95_1
12_61_10_66_6_13_38_48_ 12_61_10_70_6_13_38_48
39_27_13_42_9_69_78_55_58_30_ 39_27_13_42_9_12_117_55_58_30
34_69_48_ 34_73_48
15_43_16_6_47_63_22_ 15_43_16_6_47_70_22
30_29_77_25_ 56_29_70_51
49_29_41_63_9_3_11_ 49_29_41_63_9_3_11
54_63_58_ 54_63_58
37_25_70_32_47_ 37_25_74_32_47
75_ 107
67_24_ 107_50
38_5_69_4_ 38_5_73_4
40_71_0_ 40_75_50
39_79_ 39_118
42_3_72_5_ 42_3_76_5
29_41_79_4_35_ 29_41_118_4_61
1_62_11_ 21_62_11
40_38_76_2_60_ 40_12_111_2_60
63_21_9_ 70_21_26
20_69_ 46_73
72_ 76
1_73_4_ 1_95_4
45_68_77_15_21_16_32_56_ 45_73_24_15_1_16_32_56
22_39_72_47_ 22_39_76_47
23_78_39_56_30_ 23_117_39_56_30
66_38_59_45_15_ 70_12_59_45_15
7_79_14_ 7_118_14
76_ 111
18_74_ 18_105
31_62_ 57_62
22_18_ 22_111
5_23_79_42_55_ 5_57_118_42_55
13_80_ 13_134
35_75_ 44_107
72_ 76
17_64_1_72_48_45_ 17_33_1_76_48_45
34_13_57_32_17_63_15_37_ 34_13_57_32_17_63_15_37
12_ 14_63
19_12_ 19_105
76_ 111
79_ 118
59_48_7_53_3_ 64_48_53_3
78_77_10_50_2_ 117_10_0_2
60_18_0_ 60_111_50
31_7_41_28_78_32_13_30_ 31_7_41_28_117_32_13_30
57_43_64_70_16_4_ 57_43_33_74_16_4
79_ 118
50_30_71_37_53_ 0_30_75_37_53
33_ 64
37_38_ 37_105
28_2_23_58_62_29_34_13_ 28_2_23_32_62_29_34_13
11_28_6_78_41_ 11_28_117_41
0_63_7_ 0_63_7
65_52_43_ 65_52_43
17_62_31_ 17_62_31
44_62_46_ 44_62_46
75_ 107
19_79_58_ 19_118_58
52_30_67_18_ 52_30_107_18
2_1_ 2_70
70_ 74
26_22_41_32_39_60_10_63_7_ 9_22_41_32_39_60_10_63_7
57_53_34_10_45_33_18_ 57_53_34_70_45_33_18
16_63_61_ 16_63_61
19_44_67_17_ 19_44_107_17
13_43_58_76_21_7_39_ 13_43_58_111_21_7_39
71_63_ 75
80_ 134
71_ 75
69_ 73
56_33_ 56_64
46_80_8_ 46_134_8
33_17_0_ 64_17_0
50_5_19_22_64_60_2_ 50_5_19_22_64_60_35
0_ 70
8_1_80_ 8_134
42_3_65_5_ 42_3_65_5
22_52_63_28_27_ 22_52_70_28_27
35_64_66_3_ 35_59_70_3
23_12_ 23_105
28_70_8_ 54_74_8
1_65_23_ 65_23
20_64_45_35_ 46_64_45_35
37_29_26_70_53_ 37_29_26_74_53
59_30_63_32_16_ 59_56_63_32_16
78_ 117
41_29_65_10_24_ 41_29_65_10_0
72_42_14_ 76_42_14
1_72_48_ 1_76_48
56_76_52_50_49_ 30_111_52_50_49
74_10_13_69_11_49_55_ 12_10_13_73_11_49_55
4_60_1_63_42_3_ 4_46_63_42_3
69_ 73
20_4_8_ 46_73_8
10_48_51_66_0_43_ 10_48_25_70_24_43
9_8_73_42_ 10_8_95_42
39_32_ 39_58
12_78_43_ 38_117_43
69_ 73
49_28_6_73_53_48_ 49_28_6_95_53_48
21_29_79_25_ 21_29_118_25
76_49_19_ 111_49_19
53_45_62_21_51_ 53_45_62_21_51
35_63_33_ 35_70_33
13_10_63_19_48_ 13_10_63_19_48
0_62_ 24_62
76_ 111
72_15_18_31_64_9_11_27_16_ 76_15_18_31_33_9_11_27_16
22_0_23_26_70_17_54_ 22_50_23_26_74_17_54
47_30_74_27_63_55_ 47_30_21_27_63_55
12_51_7_67_11_40_ 12_25_7_107_11_40
1_59_32_74_21_25_ 1_59_32_105_38_25
81_ 111
49_15_70_52_32_ 49_15_74_52_32
9_17_63_56_48_ 9_17_63_56_48
46_ 20
6_58_31_43_78_64_2_60_55_ 6_58_31_43_117_33_2_60_55
12_70_ 38_74
47_38_35_20_76_51_50_ 47_38_61_20_111_51_0
3_73_45_5_9_64_39_ 3_95_45_5_9_33_39
52_80_ 52_134
79_ 118
18_44_ 18_76
61_ 61
1_80_ 134
44_64_ 44_64
0_67_22_ 50_107_22
63_4_27_51_59_ 63_4_27_51_59
1_34_17_32_23_ 107_34_17_32_23
75_ 107
4_30_73_1_48_37_7_ 4_56_95_21_22_37_7
2_64_4_10_26_79_41_ 35_59_4_10_26_118_41
3_68_55_ 3_73_55
17_33_21_65_48_45_ 17_33_1_65_48_45
71_ 75
1_30_2_29_ 1_10_73_29
51_73_26_ 51_95_26
29_42_63_57_ 29_42_70_57
43_51_70_47_ 43_51_74_47
63_5_30_56_7_44_11_ 63_5_30_56_7_44_11
80_ 134
71_ 75
25_77_20_36_75_45_2_24_19_28_ 51_24_20_36_107_45_61_0_19_28
18_12_ 18_105
6_17_70_19_27_ 6_17_74_19_27
35_6_ 35_70
47_ 73
72_ 76
13_79_4_ 13_118_4
78_ 117
39_52_72_8_ 39_52_76_8
38_80_2_2_57_18_ 12_134_2_61_57_18
0_17_72_43_38_ 0_17_76_43_12
73_ 95
36_8_47_8_69_30_38_4_ 36_35_47_8_73_56_38_4
53_69_ 53_73
45_77_21_76_44_49_16_ 45_0_21_111_44_49_16
55_14_65_61_ 55_14_65_35
71_ 75
36_71_58_ 36_75_32
71_5_ 75_5
55_ 70
38_42_47_40_ 12_42_73_40
33_ 64
63_29_ 63_24
71_ 75
11_8_80_35_ 11_8_134_61
15_66_ 15_70
63_0_46_ 63_24_46
35_63_ 61_63
77_4_1_59_15_79_20_49_31_ 24_4_21_59_15_118_20_49_31
51_53_19_64_42_9_49_71_7_ 51_53_19_59_42_9_49_75_7
69_51_28_19_5_ 73_51_28_19_5
6_25_80_13_ 6_25_134_13
43_64_ 43_64
26_64_74_63_50_8_ 26_33_12_63_0_8
50_61_73_52_58_ 50_61_95_52_32
59_ 64
53_19_74_2_ 53_19_105_2
76_60_4_ 111_60_4
9_69_74_14_39_37_7_43_ 9_73_38_14_39_37_7_43
78_ 117
49_39_2_70_33_25_26_4_ 49_39_31_74_59_25_26_4
65_ 65
76_34_19_6_ 111_34_19_6
17_70_13_32_16_30_43_55_ 17_74_13_58_16_30_43_55
76_ 111
72_33_ 76_33
62_ 62
70_ 74
70_16_35_32_15_55_3_ 74_16_35_32_15_55_3
